Gene,Control Linear Regression Slope,Control Linear Regression R2,siUPF1 Linear Regression Slope,siUPF1 Linear Regression R2,Control Log Regression Slope,Control Log Regression R2,siUPF1 Log Regression Slope,siUPF1 Log Regression R2,Category
PROSER2,-0.004571209,0.885188464,-0.003441789,0.918669295,-0.012311098,0.891395043,-0.007434498,0.918607167,siUPF1-Stab
PRR15,-0.004962574,0.978904389,-0.00454682,0.994220872,-0.016758757,0.936150632,-0.013924223,0.977288901,siUPF1-Stab
PRR3,-0.003077499,0.900209969,-0.002132932,0.946761579,-0.006865685,0.86654745,-0.003804422,0.939244756,siUPF1-Stab
PRRG4,-0.004653851,0.866313292,-0.004356424,0.969430075,-0.015719424,0.848466229,-0.012517201,0.937754109,siUPF1-Stab
PTP4A1,-0.001503279,0.848024948,-0.001323813,0.8881886,-0.002513616,0.842203364,-0.002142483,0.895668876,siUPF1-Stab
PXDC1,-0.004502204,0.900192032,-0.003971224,0.813392223,-0.012754549,0.856863048,-0.009163083,0.859594142,siUPF1-Stab
RAB32,-0.005290424,0.939246449,-0.004830217,0.948440094,-0.020287089,0.884264859,-0.015137559,0.928343972,siUPF1-Stab
RAB40C,-0.002343218,0.920664876,-0.002001434,0.97325334,-0.004388515,0.922899511,-0.003548947,0.972958453,siUPF1-Stab
RABIF,-0.002336476,0.905691783,-0.002111136,0.89311723,-0.004274578,0.907466319,-0.003792673,0.864964138,siUPF1-Stab
RAP2B,-0.003049005,0.946381496,-0.002548158,0.834728719,-0.006177483,0.933035292,-0.004696688,0.853712055,siUPF1-Stab
RARA,-0.004114961,0.898568724,-0.003093942,0.950319854,-0.011312973,0.854742271,-0.00664149,0.926856425,siUPF1-Stab
RASL12,-0.002433079,0.82319747,-0.001585619,0.822706282,-0.004529627,0.825066057,-0.002652007,0.816790085,siUPF1-Stab
RASSF10,-0.005159112,0.950998759,-0.004625415,0.781701557,-0.022294485,0.959066349,-0.017544491,0.905735082,siUPF1-Stab
RBMS3,-0.00236087,0.932340218,-0.002121466,0.978003593,-0.00440031,0.927076573,-0.003869821,0.986901282,siUPF1-Stab
RCOR2,-0.001685608,0.913103245,-0.000982526,0.976244424,-0.002880583,0.923791873,-0.00155356,0.980182752,siUPF1-Stab
